Q2A,Q5A,Q00A,Q02A,Q06A,Q07A,Q10A,Q13A,Q16A,Q20A,Q23A,Q27A,Q28A,Q31A,Score,Result
1,3,0,3,3,2,0,3,3,3,2,0,1,3,27,Severe
1,3,1,3,2,3,1,1,2,1,1,3,1,1,24,Moderate
3,3,3,3,3,3,3,3,0,3,3,3,3,3,39,Extremely Severe
1,2,2,0,1,2,0,0,1,2,3,1,0,1,16,Mild
2,3,2,3,2,3,2,1,3,2,3,2,2,2,32,Severe
1,2,1,0,3,1,0,1,0,1,0,1,1,1,13,Normal
1,3,3,1,3,1,3,2,1,3,2,3,3,2,31,Severe
0,2,0,0,0,0,0,0,1,0,0,0,0,1,4,Normal
2,2,2,3,3,2,2,2,3,3,3,3,2,3,35,Extremely Severe
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
1,2,0,1,2,1,0,2,0,2,1,0,1,1,14,Normal
1,3,2,2,0,2,1,1,2,1,2,0,1,1,19,Moderate
0,0,2,2,2,2,2,1,2,0,1,3,1,1,19,Moderate
0,2,0,3,2,3,0,2,0,1,0,0,0,2,15,Mild
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
1,1,1,1,1,2,1,1,2,1,1,1,0,2,16,Mild
1,0,0,2,0,2,0,1,3,0,0,0,0,2,11,Normal
1,1,1,1,2,1,1,1,1,2,1,1,0,0,14,Normal
1,2,1,0,2,0,0,2,0,2,0,0,1,3,14,Normal
1,3,1,2,1,1,2,2,2,1,1,2,1,3,23,Moderate
1,1,1,2,0,1,0,0,2,0,1,0,0,1,10,Normal
1,2,2,1,2,1,1,3,1,2,1,1,1,2,21,Moderate
2,2,3,3,2,3,3,2,3,2,3,3,3,2,36,Extremely Severe
1,0,1,2,1,1,1,1,2,2,2,1,0,3,18,Mild
1,2,1,2,2,1,1,1,3,1,1,2,1,2,21,Moderate
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
3,3,2,3,2,3,2,3,3,3,3,3,2,3,38,Extremely Severe
0,0,1,2,2,1,0,3,1,0,0,0,0,0,10,Normal
3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,Extremely Severe
1,0,1,0,2,0,1,2,0,0,0,1,1,0,9,Normal
2,2,1,2,1,2,1,3,2,1,2,2,2,1,24,Moderate
1,3,1,3,1,3,3,2,3,0,3,1,3,3,30,Severe
0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,Normal
1,0,0,1,1,0,0,1,2,1,1,0,0,2,10,Normal
1,0,0,1,2,2,0,1,0,1,2,0,1,3,14,Normal
0,1,0,1,2,0,1,1,2,0,1,1,2,2,14,Normal
0,1,3,2,1,3,3,3,3,1,2,3,3,3,31,Severe
1,1,1,1,0,3,2,1,1,1,1,2,1,2,18,Mild
2,1,2,3,2,1,1,2,2,1,1,1,2,2,23,Moderate
0,1,0,0,1,0,0,0,1,0,0,0,0,1,4,Normal
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Normal
2,3,2,2,2,2,2,3,3,2,1,2,3,3,32,Severe
1,1,0,1,1,3,1,0,0,1,3,0,1,3,16,Mild
1,2,2,1,1,2,1,2,2,2,1,2,2,2,23,Moderate
0,2,1,1,1,0,1,1,1,3,0,0,1,0,12,Normal
2,2,2,3,1,3,2,2,2,2,3,2,1,2,29,Severe
0,0,0,1,1,0,0,0,2,0,1,0,0,0,5,Normal
3,2,2,3,2,2,3,2,3,3,3,1,3,1,33,Severe
3,2,0,3,1,2,2,2,2,1,2,1,1,3,25,Moderate
0,1,0,1,1,0,1,1,0,1,1,0,0,3,10,Normal
2,3,3,3,3,1,3,2,3,3,2,3,3,3,37,Extremely Severe
3,2,2,3,2,2,2,2,3,2,3,2,2,3,33,Severe
2,2,2,2,3,3,3,2,1,2,3,2,3,3,33,Severe
0,2,1,1,0,1,2,1,1,0,2,0,1,2,14,Normal
0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,Normal
3,3,3,3,3,3,2,3,3,3,2,3,3,3,40,Extremely Severe
0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,Normal
1,1,2,1,1,1,0,1,0,1,0,1,0,3,13,Normal
3,3,3,3,3,2,3,1,3,3,3,3,2,3,38,Extremely Severe
0,2,1,1,0,0,0,0,0,0,0,0,0,2,6,Normal
0,1,1,0,1,1,0,0,0,0,0,0,0,1,5,Normal
2,2,1,3,1,1,0,1,3,0,1,0,0,1,16,Mild
2,3,3,2,2,3,3,2,2,1,2,3,3,2,33,Severe
1,1,1,1,0,1,0,1,0,1,0,0,0,2,9,Normal
3,3,0,2,1,0,0,2,0,3,1,0,0,3,18,Mild
1,2,2,3,2,2,1,2,2,2,2,1,1,3,26,Severe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
1,2,2,2,1,3,2,1,2,1,2,2,2,3,26,Severe
2,3,3,3,3,3,2,3,2,3,3,3,3,3,39,Extremely Severe
0,1,0,0,0,0,0,1,0,2,0,0,0,1,5,Normal
